BookingID,Quantity,Sales,Cost,MenuID,Sides,Drink,Dessert,Starter,Main,Cuisine,OrderID,TableNumber,BookingDate,CustomerID,CustomerName,CustomerPhone,CustomerEmail,CustomerCountry,
18,2,465,310,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_18,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
19,2,137.76,91.84,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_19,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
20,2,480,320,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_20,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
21,2,139.7,93.13,M12,Meatballs,Ankara White Wine,Turkish yoghurt,Tomato bread,Kabasa,Greek,Order_M12_BID_21,13,6/14/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
22,2,252.41,168.27,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_22,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
23,2,104.07,69.38,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_23,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
24,2,285,190,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_24,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
25,2,78.12,52.08,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_25,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
26,2,465,310,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_26,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
27,2,137.76,91.84,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_27,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
28,2,480,320,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_28,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
29,2,139.7,93.13,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_29,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
30,2,112.5,75,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_30,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
31,2,216.14,144.09,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_31,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
32,2,187.5,125,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_32,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
33,2,252.41,168.27,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_33,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
34,2,104.07,69.38,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_34,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
35,2,285,190,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_35,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
36,2,78.12,52.08,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_36,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
37,2,465,310,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_37,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
38,2,137.76,91.84,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_38,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
39,2,480,320,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_39,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
40,2,139.7,93.13,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_40,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
41,2,112.5,75,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_41,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
42,2,216.14,144.09,M45,Bruschetta,Italian Coffee,Cheesecake,Hummus,Pizza,Italian,Order_M45_BID_42,15,6/23/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
43,3,480,320,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_43,3,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
44,3,285,190,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_44,19,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
45,3,139.7,93.13,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_45,11,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
46,3,139.7,93.13,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_46,3,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
47,3,78.12,52.08,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_47,19,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
48,3,112.5,75,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_48,11,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
49,3,112.5,75,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_49,3,6/26/2019,OQA-AAT-676,Aaron Cromley,763-770-2088,Aarley123@email.com,USA,
50,3,465,310,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_50,19,6/26/2019,JZS-OIC-649,Abigail Struis,242-657-7551,Abiuis123@email.com,USA,
51,3,216.14,144.09,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_51,11,6/26/2019,JZS-OIC-649,Abigail Struis,242-657-7551,Abiuis123@email.com,USA,
52,3,216.14,144.09,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_52,3,6/26/2019,JZS-OIC-649,Abigail Struis,242-657-7551,Abiuis123@email.com,USA,
53,3,137.76,91.84,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_53,19,6/26/2019,JZS-OIC-649,Abigail Struis,242-657-7551,Abiuis123@email.com,USA,
54,3,187.5,125,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_54,11,6/26/2019,JZS-OIC-649,Abigail Struis,242-657-7551,Abiuis123@email.com,USA,
55,3,187.5,125,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_55,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
56,3,480,320,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_56,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
57,3,252.41,168.27,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_57,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
58,3,252.41,168.27,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_58,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
59,3,139.7,93.13,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_59,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
60,3,104.07,69.38,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_60,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
61,3,104.07,69.38,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_61,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
62,3,112.5,75,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_62,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
63,3,285,190,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_63,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
64,3,285,190,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_64,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
65,3,216.14,144.09,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_65,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
66,3,78.12,52.08,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_66,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
67,3,78.12,52.08,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_67,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
68,3,187.5,125,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_68,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
69,3,465,310,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_69,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
70,3,465,310,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_70,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
71,3,252.41,168.27,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_71,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
72,3,137.76,91.84,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_72,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
73,3,137.76,91.84,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_73,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
74,3,104.07,69.38,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_74,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
75,3,480,320,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_75,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
76,3,480,320,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_76,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
77,3,285,190,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_77,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
78,3,139.7,93.13,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_78,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
79,3,139.7,93.13,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_79,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
80,3,78.12,52.08,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_80,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
81,3,112.5,75,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_81,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
82,3,112.5,75,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_82,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
83,3,465,310,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_83,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
84,3,216.14,144.09,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_84,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
85,3,216.14,144.09,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_85,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
86,3,137.76,91.84,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_86,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
87,3,187.5,125,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_87,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
88,3,187.5,125,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_88,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
89,3,480,320,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_89,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
90,3,252.41,168.27,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_90,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
91,3,252.41,168.27,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_91,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
92,3,139.7,93.13,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_92,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
93,3,104.07,69.38,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_93,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
94,3,104.07,69.38,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_94,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
95,3,112.5,75,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_95,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
96,3,285,190,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_96,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
97,3,285,190,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_97,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
98,3,216.14,144.09,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_98,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
99,3,78.12,52.08,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_99,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
100,3,78.12,52.08,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_100,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
101,3,187.5,125,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_101,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
102,3,465,310,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_102,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
103,3,465,310,M39,Meatballs,Ankara White Wine,Turkish yoghurt,Hummus,Kabasa,Italian,Order_M39_BID_103,3,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
104,3,252.41,168.27,M44,Bruschetta,Italian Coffee,Cheesecake,Flatbread,Pizza,Italian,Order_M44_BID_104,19,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
105,3,137.76,91.84,M43,Bruschetta,Italian Coffee,Cheesecake,Falafel,Pizza,Italian,Order_M43_BID_105,11,6/26/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
106,3,337.5,225,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_106,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
107,2,285,190,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_107,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
108,3,199.76,133.17,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_108,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
109,2,78.12,52.08,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_109,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
110,3,315,210,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_110,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
111,2,465,310,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_111,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
112,3,66.86,44.57,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_112,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
113,2,137.76,91.84,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_113,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
114,3,330,220,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_114,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
115,2,480,320,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_115,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
116,3,152.4,101.6,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_116,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
117,2,139.7,93.13,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_117,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
118,3,352.5,235,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_118,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
119,2,112.5,75,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_119,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
120,3,186.93,124.62,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_120,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
121,2,216.14,144.09,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_121,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
122,3,179.7,119.8,M65,Focaccia,Roma Red wine,Affogato,Olives,Carbonara,Turkish,Order_M65_BID_122,12,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
123,2,187.5,125,M1,Tapas,Athens White wine,Greek yoghurt,Falafel,Greek salad,Greek,Order_M1_BID_123,1,6/27/2019,QAK-YEA-563,Adah Adamczewski,895-846-9322,Adaski123@email.com,USA,
